Marcin Marchlewski|Tomasz Filbrandt|over|1784334000
Marian Brunner|Zbigniew Nocun|over|1784655000
Marian Lebek|Oliver Vincenec|over|1784774700
Marian Lebek|Oliver Vincenec|under|1784180100
Marian Lebek|Wojciech Urban|under|1784796300
Mariusz Adamus|Mariusz Baron|under|1784793300
Mariusz Adamus|Mariusz Baron|under|1784814900
Mariusz Adamus|Piotr Gumulinski|under|1784802000
Mariusz Adamus|Piotr Gumulinski|under|1784810700
Mariusz Baron|Piotr Gumulinski|over|1783894800
Mariusz Baron|Piotr Gumulinski|under|1784790600
Mariusz Baron|Piotr Gumulinski|under|1784806200
Mariusz Baron|Wojciech Urban|under|1784483700
Mariusz Koczyba|Pawel Kurek|under|1784736000
Martin Huk|Radim Urbaniec|over|1783440000
Martin Huk|Radim Urbaniec|over|1783504800
Martin Huk|Radim Urbaniec|over|1783645200
Martin Huk|Radim Urbaniec|over|1783679400
Martin Huk|Radim Urbaniec|over|1783710000
Martin Huk|Radim Urbaniec|over|1783719000
Mateusz Burkacki|Szymon Radlo|over|1783488600
Mateusz Rutkowski|Michal Olbrycht|over|1784409600
Mateusz Rutkowski|Michal Olbrycht|over|1784417700
Michal Cabis|Michal Vavrecka|over|1783769400
Michal Chalupa|Zbynek Pagac|over|1783506600
Michal Skorski|Mikolaj Lukaszewski|under|1784235600
Michal Skorski|Mikolaj Lukaszewski|under|1784244000
Michal Vondrak|Tomas Vinter|over|1783850400
Michal Wolny|Witold Stechly|over|1784764500
Miroslaw Warzecha|Witold Stechly|under|1784780400
Miroslaw Warzecha|Zbigniew Nocun|under|1784766000
Myroslav Loboda|Viktor Slozka|over|1783564200
Nadiia Harmash|Olga Melnik|over|1783701000
Oleh Kurylenko|Serhii Miroshnychenko|under|1783492200
Oleh Napirko|Serhii Berezynskyi|under|1783776900
Oleksandr Ovsiienko|Vladyslav Stukalov|under|1783508400
Oleksandr V Kovalchuk|Serhii Chelpanov|over|1783554900
Oleksandr V Kovalchuk|Serhii Skachenko|over|1783558500
Oleksii Mitla|Valerii Vlasenko|over|1783556100
Oliver Vincenec|Patryk Mecik|over|1784184600
Oliver Vincenec|Pawel Adamus|over|1784545200
Oliwier Sokolowski|Wojciech Wojtaszczyk|under|1783431000
Ondrej Paril|Radomir Revay|over|1783753200
Orest Hura|Valerii Vlasenko|over|1783464300
Patryk Jendrzejewski|Tomasz Filbrandt|under|1784239500
Patryk Jendrzejewski|Tomasz Filbrandt|under|1784247600
Patryk Mecik|Rafal Skotniczny|under|1783922100
Pavel Wawrosz|Radovan Polasek|over|1783492200
Pawel Slosarczyk|Wojciech Urban|over|1784498100
Radek Benes|Tomas Krenek|over|1783510800
Radomir Revay|Tadeas Zika|over|1783423800
Radomir Revay|Tadeas Zika|over|1783490400
Radomir Revay|Tadeas Zika|over|1783600200
Rafal Adach|Robert Szymik|under|1784318100
Rafal Gajda|Sebastian Juzek|over|1784711100
Roman Boklah|Serhii Priadko|over|1783526400
Roman Gnoevoy|Spartak Abalmaz|over|1783463100
Roman Gnoevoy|Spartak Abalmaz|over|1783536900
Sebastian Juzek|Waldemar Glanowski|under|1784813400
Serhii Kushnirenko|Serhii Ponomarenko|under|1783666800
Serhii Kushnirenko|Serhii Ponomarenko|under|1783773000
Serhii Kushnirenko|Serhii Ponomarenko|under|1784104200
Stanislaw Wnek|Wojciech Gluszek|under|1784655900
Witold Stechly|Zbigniew Nocun|over|1784775900
